回首过去的2020 真的是像做了一场午后梦一般 疫情的突发使我的生活里面也徒增了些不该有的事和人。网课的日子回想起来真的不堪但好的坏的 都是经历 都是成长 我都接受并会一直向前2021年：会忘记过去 会开心 会努力 会自律6月7，8号更会不辜负自己这十几年来的学生之涯 . 高考顺利！会和更好的自己去远方看不一样的景 遇见更优秀的人 收起全文d
2021的第一天微博 也是我的第520条微博2020好像一眨眼就悄悄溜走了 但好像又发生了特别多事因为疫情 因为网课无聊 看了青春有你2遇见喻言 爱上喻言@THE9-喻言遇见这个小朋友 离不开这个小朋友@圆头小西几是2020最最幸运的事情
2021我的网课可以打折吗？
#考公日记#第一天数量：网课1hmmm只看了一节网课…
2020再见，新年快乐啊！！！2020真的太艰难了，疫情学业画画什么的都是一个新的征途，在南香的十五天回想起来都是美波的家有女友主题曲，呆在家里这么久也完美重合了我的生活（甚至还想再来一次）但是不要再有疫情了！终于看了甄嬛传和如懿传等等 但是想刷的动漫也都还没有开始，算比较荒废吧。也重新肝起了阴阳师，虽然现在又没时间登了网课也是在划水，考得也不怎么样开始了板绘，但是没坚持多久 又开始在手机上画画了彻底入坑dys了，爱上了爷们和九c，很长一段时间唯一的慰籍就是中午午休自己一个人看相声，真的很快乐，磕cp也很快乐，be的时候也很痛苦，希望越来越好啊！21年 专场见！好像是2月的时候进的小羊粉丝群，和姐妹们认识也一年了！！真的太久了 小羊真的很好，这一年也开始不潜水了活跃了起来，给小羊写的信，画得画和礼物都是爱的联系，感谢有小羊和姐妹们2020好快，经历了妈妈手术，奶奶住院，爸爸看医生的各种跌宕起伏，现在也算平平淡淡平平安安 也不错很多第一次，进画室出远门，遇见新的人，和旧朋友分开，爱就是联系，憋在心里只会消失或者压抑。来到别的地方看一看，对未来算是也有了点期待心态变挺多了，算是真的明快了起来不阴沉了，以前常常在后悔，中考没考好，做了对不起别人的事，想说的话没敢说出口，爱的人错过了，现在看来也都算是命中注定，也在渐渐主动和学会硬气，有很多想铭记的东西，回到过去也不会变得更好，张德芬说“如果有人以你不喜欢的方式对你，那一定是你允许的。”讨厌这个世界的很多东西，但是也有很多东西能留住我，也会开始舍不得一些东西了，和很多朋友的关系也更熟了，和特殊的人和解了，也不那么排斥家里了。很多东西都需要时间，希望2021可以更好！ 收起全文d
总结一下2020吧，经历了疫情、网课、备考、考试、工作、压力、奔溃、好转、顺利、上学、感情坎坎坷坷，不过最幸运的不是赚了多少钱而是在湖北认识了我的三个小姐妹，她们可能就像我心中的一束光突然照亮了我。从她们身上好像再次的感受到了好朋友之间的真诚和包容，更是我身边的“开心果”，同时也反思了自己身上的不足。还一直挂念在江苏、新疆、天津、山东的老姐妹们👭，所以要珍惜现在身边一切美好真挚的感情❤️最后希望自己新的一年，多知性少感性，家人能够健健康康开开心心，学业、工作都能越来越好，摆脱低级欲望，好好爱自己，好好爱身边的人（ps：有点贪婪愿望有点多哈哈哈哈哈....）最最最后一个愿望：希望大家都越来越好鸭！（ps：感觉微博就是自己心里的小天地，可以装下心里所有的开心和不开心嘻嘻...） 收起全文d
2021·01.01第第一条微博啦当然还有加上去年的没想到距离去年就好像是昨天part1 十二月的最后一天抓住2020的小尾巴最有氛围的就是“跨年”（果然不平凡的年份跨年都不一样）小团体跨年真是艰难坎坷啊从四点到六点小团体集合成功中间不停的转场转场还是转场……每个人都在命途多舛刘总找不到学校的青蓝门加上地铁晕车加上徒步会合3公里柳哥选课系统崩溃 最后选了历史和不知名花卉课陈总口语测试遇上猪队友一下课立马赶来饱受地铁之苦黄总办完事坐地铁由于人山人海没网导致最终无法集合选择明年再来还有卑微的辣椒油老师明明是公交小能手 竟然在这一天做过了站一切准备就绪 紫荆夜市走起艰难坎坷不知道吃什么 吃火锅人满为患 五个憨憨在人群中相遇又离别唉 别说了 准备剪一个vlog史上最卑微跨年小团体 给我半个月时间吧零点之前小作文提前写好 已准备就绪（不幸被揭穿）懵懵懂懂在寝室独自一人孤寡跨年 但是有我的宝贝们就很开心part2 新年快乐＋元旦快乐＝双份快乐明年睡觉的感觉真好，起来就回家了嚯嚯嚯嚯嚯嚯嘿嘿嘿鬼知道收拾个被子竟然到了八点 妈耶9点的车真是害怕错过 幸好打了车 司机针不戳四个行李箱塞满了后备箱 牛坐长途汽车三个半小时到家真的很不错 但是很晕车可能这叫班车反应吧在我头晕眼花之际想要睡觉的时候旁边老阿姨的手机铃声好运来真的是绝了谢天谢地老阿姨中途下车 坐班车坐到快死亡 看到宁都欢迎你真的瞬间活了非常非常非常开心因为回家了 希望南昌的伙伴们早点回家还有其他地方的伙伴们 我在宁都等你们哦嘿嘿嘿嘿下午和中石油老师一起玩耍 本来中石油老师要偷偷学习的谁知道可能老天真的今天元旦吧就不给学习机会了 中石油老师倔强要走破万步数 两个憨憨吃的很饱 科技楼 1893对不起我不配了宁中快骂我 辣椒油不是本意啊开开心心o(≧v≦)o快快乐乐(✪▽✪)2021全糖去冰!送你一朵小红花 来年暴富随便花#宝宝的少女心##冒个泡##一起冲鸭##今日贴纸打卡# 收起全文d
再见2020，你好2021这两天太忙，都没时间总结，今天上午考试，下午爬山⛰️晚上和同学妈妈们喝酒聊天都在感慨这2020年就这样飞速的过去了2020年1月：疫情爆出扩散封城都陷入恐慌2月：全中国人民集体抗疫大家全部在家3月：孩子爸趁这疫情好转，去医院做了个小手术4月：全中国小孩👶🏻集体网课上了2个月，月底终于复课5月：外培机构全面复课，一切开始慢慢走上正轨6月：儿子入少先队，很自豪7月：期末考试完，和同学们珠海长隆嗨一圈8月：西宁、兰州、敦煌，去了想去的地方9月：儿子二年级10月：xrs测评，经过努力考的还不错11月：xrs 英语测评考上了创新12月：每天忙碌的生活，一转眼就到了年底2020太特殊，这一年会深深印刻在脑海里2021我们都要好好的 收起全文d
最后几分钟的一个总结——2020年真的在互联网上认识了很多很多朋友，真的很开心@叫希尔太难了还有俩月我们就认识一年了，从刚认识的互相客气再到在群里互骂再到一起面基一起密室逃脱，能认识一个同龄同城同样爱好的朋友也太难得了吧，记得中考时我们互相加油，一起努力，真的很幸福很幸运。2021我们也要继续好下去——！@是提不是齐是因为喜欢他们认识的27中的学姐了！她对我超级好，中考出分那天她请我喝了奶茶，每次我放学晚赶不上新物料的时候总会在微信微博里发给我，真的好感动！！@鹅卡打卡机k打死那个石家庄人！在胡萝卜里认识的一位管理，当时和孙卡卡熟悉起来是因为唱歌难听（妈的！）后来就聊天聊地聊各种东西，网课期间也是闲，感受过孙卡卡喝多了之后和我讲她上学时候的各种光辉并且笑趴我的事迹 ，也感受过抢着当最后一个结束聊天的人互相发狗头的幼稚，现在想想也真的很好笑！@JINYI_L金一跟我说我是她加到的第一个vx！她真的好好喔 给我寄了好多应援 还有好看的手机壳子 给我发六一儿童节红包 嘿嘿 我是被宠着的小朋友诶新的一年金一在闪闪发光的同时也要平平安安快快乐乐✨还有好多好多人 记得因为在超话闲逛看到了奶盖的群 又在柠檬微博底下看她玩行走大师认识了柠檬 还有中考完之后和梅梅希尔一起玩你画我猜笑到肚子疼 还有在全民k歌听我吼阳光彩虹小白马 还有连麦看小时候照片笑得想吐的时候 还有好多好多有趣的事情2020年还有很多很多喜欢的人回关我 每次真的可以开心一整天！认识你们超级开心！新年快乐！@年更选手梅梅子 @弛野_ @月亮不加香菜 @ec今天废话了吗 @月亮在发光啊 @日月藏进草里 @-常本环奈- @铁锅炖你妈 @XyAnlIu_ @南瓜沙的高冷留声机 @蔓笙YUM @River溪溪子 @许云安i @月亮岛屿_ @鯨魚噬夢 @缊春 @佳雷雷雷 @朝煊不是嘲笑工 @你也要喝豆奶咩_ @·月迷津渡· @一七一十一也 @-initial_走走 @甜橘手册 @晚安甜心酱 @苏打可乐一比二 @冰糖雪碧二比一 @so恙 @人间不知名NPC@ 我的互关们 我可爱的网友子！新的一年都要开心！！开心第一名🥇 收起全文d
总是慢一步的小黄来发2020的总结了2020上半年：疫情、网课、高考2020下半年：大学、交新友、聚老友2021年平安喜乐万事胜意 L是黄同学啊啊啊啊的微博视频
2021.01.01总时长2h29min审计网课（03-04）AF（03）
